,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
430,Farmington,1,US,1541224380,59,36.73,-108.21,42.08,3.15
431,Terrace,90,CA,1541224800,87,54.52,-128.61,46.4,16.11
432,San Juan del Sur,56,NI,1541227324,86,11.25,-85.87,80.42,8.75
433,Wufeng,75,TW,1541225100,94,24.63,121.12,82.4,9.17
435,Cururupu,56,BR,1541226871,80,-1.82,-44.87,79.29,7.63
436,Yenagoa,48,NG,1541226812,91,4.92,6.26,75.02,2.93
437,Hay River,75,CA,1541224800,92,60.82,-115.79,24.8,14.99
438,Malumfashi,0,NG,1541227325,63,11.79,7.62,59.49,2.93
439,Touros,64,BR,1541226741,93,-5.2,-35.46,77,11.65
440,Sampit,0,ID,1541227325,72,-2.54,112.95,90.41,5.28
441,Itoman,75,JP,1541224800,83,26.12,127.67,75.2,13.87
442,Shakawe,20,BW,1541227326,67,-18.36,21.84,70.43,6.17
443,Stodolishche,92,RU,1541227326,98,54.18,32.65,44.82,11.77
444,Sola,40,NO,1541224200,87,58.89,5.65,44.6,11.41
446,Andra,24,RU,1541227326,90,62.52,65.89,25.07,6.29
447,Acapulco,75,MX,1541224140,88,16.86,-99.88,80.6,3.38
448,Salina Cruz,12,MX,1541227327,73,16.18,-95.2,75.65,13
449,Sao Francisco do Sul,92,BR,1541227327,100,-26.24,-48.64,69.53,11.54
450,Dragoman,80,BG,1541226600,87,42.92,22.93,50,2.37
451,Portland,75,US,1541224560,74,45.52,-122.67,55.94,3.71
452,Avera,1,US,1541224500,78,33.19,-82.53,50,9.17
453,Blagoveshchenka,92,RU,1541227328,96,52.83,79.87,32.67,16.8
454,Sept-Iles,90,CA,1541224800,86,50.2,-66.38,33.8,9.17
456,Salinas,1,US,1541224500,89,36.67,-121.66,57.2,2.04
457,Seoul,0,KR,1541226600,38,37.57,126.98,66.2,9.17
458,Chililabombwe,48,ZM,1541227329,85,-12.37,27.84,67.91,4.5
460,Guozhen,0,CN,1541227329,53,29.3,113.14,72.59,4.27
461,Pangnirtung,20,CA,1541227011,100,66.15,-65.72,8.33,6.4
462,San Vicente,0,SV,1541224200,94,13.64,-88.78,77,2.82
463,Bograd,0,RU,1541224800,43,54.22,90.86,33.8,13.42
465,Havre,90,US,1541224380,84,48.55,-109.68,35.06,17.22
466,Maniitsoq,24,GL,1541226964,100,65.42,-52.9,16.56,6.96
467,Wamba,76,CD,1541227331,97,2.14,27.99,70.11,2.82
468,Honiara,75,SB,1541224800,79,-9.43,159.96,84.2,4.7
469,Kaohsiung,75,TW,1541224800,55,22.62,120.31,87.8,6.93
470,Trelleborg,0,SE,1541226000,93,55.38,13.15,41,6.93
471,Redlands,1,US,1541224860,32,34.06,-117.19,75.92,1.14
472,Ilebo,32,CD,1541227332,91,-4.33,20.59,75.06,2.93
473,Nowogard,76,PL,1541226600,93,53.67,15.12,41,2.24
475,Linxia,20,CN,1541226908,68,35.6,103.21,37.13,3.6
476,Banjar,68,ID,1541227005,78,-7.37,108.54,81.32,4.61
477,Irituia,32,BR,1541227333,91,-1.77,-47.44,74.97,5.61
478,Puerto Maldonado,12,PE,1541227333,63,-12.59,-69.19,81.99,3.94
479,Doha,0,QA,1541224800,48,25.29,51.53,86,14.99
480,Ukiah,1,US,1541224560,77,39.15,-123.21,53.96,2.04
481,Sibolga,64,ID,1541226797,95,1.74,98.78,77.76,1.7
482,Ulaanbaatar,20,MN,1541226600,38,47.92,106.92,23,8.95
483,Rezekne,64,LV,1541227334,95,56.5,27.32,46.31,5.73
484,Bandarbeyla,0,SO,1541226859,100,9.49,50.81,79.88,12.77
486,Severodvinsk,90,RU,1541224800,100,64.56,39.82,35.6,6.71
487,Sao Lourenco do Sul,92,BR,1541227334,98,-31.37,-51.98,66.42,8.86
488,Khani,0,GE,1541224800,48,41.96,42.96,60.8,33.33
489,Jijiang,75,CN,1541224800,100,29.8,120.61,62.6,4.47
490,Swan Hill,0,AU,1541227335,37,-35.34,143.56,74.97,11.32
491,Kudahuvadhoo,68,MV,1541227067,100,2.67,72.89,82.4,6.62
492,Port Keats,0,AU,1541226830,69,-14.25,129.55,91.67,5.17
494,Puerto del Rosario,20,ES,1541226600,77,28.5,-13.86,69.8,24.16
495,Calvinia,80,ZA,1541227336,12,-31.47,19.78,62.19,5.84
496,San Matias,20,HN,1541224800,93,13.97,-86.63,60.8,2.24
497,Pontian Kecil,75,MY,1541225400,100,1.48,103.39,89.6,13.87
498,Powell,90,US,1541226240,88,40.16,-83.08,42.08,9.17
499,Bintulu,75,MY,1541224800,75,3.17,113.03,89.6,8.05
500,Karatuzskoye,76,RU,1541227338,58,53.61,92.87,34.47,4.61
501,High Rock,68,BS,1541226867,99,26.63,-78.28,81.86,19.71
502,Flin Flon,0,CA,1541227338,100,54.77,-101.88,19.26,5.39
503,Gombe,12,NG,1541227338,86,10.28,11.17,67.41,2.48
504,Warrnambool,44,AU,1541227339,84,-38.38,142.48,58.82,15.79
505,Sattahip,20,TH,1541226600,48,12.67,100.9,87.8,8.05
506,Vilhena,64,BR,1541227339,95,-12.74,-60.15,73.58,1.7
507,Boynton Beach,90,US,1541226180,90,40.55,-74.25,66.92,17.22
508,Utinga,20,BR,1541224800,74,-5.82,-35.4,78.8,10.29
509,La Ronge,90,CA,1541224800,79,55.1,-105.3,24.8,8.05
510,Mazamari,88,PE,1541227340,84,-11.33,-74.53,65.79,2.37
511,Celina,75,US,1541225700,93,40.55,-84.57,41,6.93
512,Trairi,92,BR,1541227340,100,-3.28,-39.27,79.79,18.59
513,Ternate,75,PH,1541224800,55,14.29,120.72,91.4,11.41
514,Kassala,8,SD,1541227306,63,15.45,36.38,78.71,4.27
516,Kungurtug,0,RU,1541227341,41,50.6,97.53,16.56,4.27
517,Broome,0,GB,1541226000,86,52.47,1.45,44.42,8.05
518,Xichang,0,CN,1541227341,38,27.88,102.25,63.5,1.92
519,Najran,40,SA,1541224800,43,17.54,44.22,69.8,4.7
520,Ballina,90,IE,1541224800,93,54.11,-9.15,55.4,20.8
521,Iquique,75,CL,1541224800,72,-20.22,-70.14,64.4,6.93
522,Limbuhan,32,PH,1541227342,84,11.06,125.02,84.69,5.73
523,Noumea,0,NC,1541224800,39,-22.28,166.46,78.8,11.41
524,Mildura,0,AU,1541227342,38,-34.18,142.16,77.09,9.64
527,Sorland,88,NO,1541226998,100,67.67,12.69,45.05,18.14
528,Atasu,92,KZ,1541226828,82,48.68,71.64,27.99,17.25
529,Bushehr,40,IR,1541224800,56,28.97,50.84,84.2,11.41
530,Yazykovo,56,RU,1541227343,89,54.3,47.38,32.72,8.86
531,Whitehorse,5,CA,1541224800,77,60.72,-135.06,-2.21,3.36
532,Butterworth,75,MY,1541224800,79,5.4,100.37,86,5.82
533,Macamic,90,CA,1541224800,99,48.75,-79,32,10.29
534,Kavieng,36,PG,1541226469,100,-2.57,150.8,83.07,6.4
535,Sri Aman,75,MY,1541224800,70,1.24,111.46,87.8,2.24
537,Kargil,80,PK,1541227018,92,34.56,76.13,17.51,0.92
538,Rio Claro,0,BR,1541227344,91,-22.41,-47.56,67.64,7.07
540,Bend,1,US,1541225700,88,44.06,-121.32,46.04,4.7
541,Tiarei,75,PF,1541224800,69,-17.53,-149.33,80.6,4.7
542,Grand-Santi,0,GF,1541227345,90,4.27,-54.38,75.56,2.82
543,Vitim,64,RU,1541227345,48,59.44,112.57,14.76,7.52
544,Rengasdengklok,80,ID,1541227140,97,-6.16,107.3,86.09,8.19
545,Altamira,8,BR,1541227346,85,-3.2,-52.21,78.84,4.16
546,Gherghesti,75,RO,1541224800,87,46.5,27.52,53.6,13.87
547,Palmer,0,AU,1541224800,48,-34.85,139.16,64.4,10.29
548,South Lake Tahoe,1,US,1541225700,43,38.93,-119.98,53.96,3.36
549,Brus Laguna,12,HN,1541227346,93,15.75,-84.48,75.38,2.37
550,Aripuana,32,BR,1541227347,92,-9.17,-60.63,78.08,2.59
553,Roald,0,NO,1541224200,100,62.58,6.12,44.6,11.41
554,Witu,80,KE,1541226850,81,-2.39,40.44,80.06,4.38
555,Necochea,44,AR,1541226410,99,-38.55,-58.74,49.19,9.42
556,Nishihara,75,JP,1541224800,55,35.74,139.53,66.2,6.93
557,San Policarpo,88,PH,1541227024,97,12.18,125.51,81.81,7.18
559,Silifke,0,TR,1541226894,64,36.38,33.93,62.33,7.74
560,Mwinilunga,76,ZM,1541227348,94,-11.73,24.43,66.42,3.71
561,Poronaysk,0,RU,1541227036,66,49.22,143.1,49.1,10.98
562,Tual,36,ID,1541227348,100,-5.67,132.75,82.31,2.48
563,Monchique,20,PT,1541224800,93,37.32,-8.56,55.4,6.96
564,Vila,90,IT,1541224500,100,45.18,8.4,53.6,8.05
565,Lieksa,92,FI,1541227349,97,63.32,30.02,43.79,7.52
566,Ipixuna,0,BR,1541224800,94,-1.76,-48.8,75.2,5.82
567,Klamath Falls,1,US,1541224380,88,42.22,-121.78,35.06,3.36
568,Alice Springs,0,AU,1541225460,12,-23.7,133.88,105.8,17.22
569,Alyangula,0,AU,1541226884,80,-13.85,136.42,89.37,18.59
570,Yulara,75,AU,1541224800,20,-25.24,130.99,98.6,14.99
571,Kindu,64,CD,1541227350,91,-2.95,25.92,73.76,2.93
572,Mishkino,0,RU,1541224800,93,56.22,46.62,35.6,11.18
573,Fengrun,0,CN,1541227350,42,39.83,118.12,67.32,8.86
574,Haines Junction,12,CA,1541227350,100,60.75,-137.51,-11.93,2.15
575,Gravelbourg,92,CA,1541227350,99,49.88,-106.56,31.01,16.02
576,Kununurra,75,AU,1541224800,42,-15.77,128.74,98.6,12.75
578,Cascais,75,PT,1541224800,93,38.7,-9.42,59,10.29
579,Barra Patuca,24,HN,1541227351,93,15.8,-84.28,81.86,10.98
580,Encruzilhada do Sul,92,BR,1541227351,98,-30.54,-52.52,66.24,7.74
581,Katherine,75,AU,1541224800,25,-14.47,132.26,100.4,8.05
582,Christchurch,0,NZ,1541224800,49,-43.53,172.64,71.6,19.46
583,Vila Velha,20,BR,1541224800,78,-3.71,-38.6,78.8,12.75
584,Pedro II,0,BR,1541227352,67,-4.43,-41.45,76.64,7.63
585,Halden,76,SE,1541226000,92,59.12,11.39,33.8,4.7
586,Maura,56,IN,1541227352,85,29.68,79.39,60.98,5.5
587,Beloha,88,MG,1541226326,76,-25.17,45.06,71.69,14
588,Sambava,68,MG,1541226825,100,-14.27,50.17,77.22,9.98
589,Grindavik,75,IS,1541224800,80,63.84,-22.43,37.4,40.26
590,Manzhouli,12,CN,1541227353,40,49.6,117.43,22.82,13.89
591,Anamur,0,TR,1541227353,78,36.08,32.84,69.12,8.3
592,Praia da Vitoria,75,PT,1541224800,94,38.73,-27.07,68,10.2
594,Balkanabat,0,TM,1541227354,50,39.51,54.36,39.87,4.72
595,Jumla,76,NP,1541226985,70,29.28,82.18,40.1,1.36
596,Bella Union,80,CO,1541227354,98,8.5,-73.35,66.92,2.04
597,Kratovo,0,MK,1541224800,93,42.08,22.18,44.6,1.12
598,Vostok,0,RU,1541227058,56,46.45,135.83,48.92,5.17
599,Cooma,0,AU,1541227354,48,-36.24,149.13,69.53,5.95
600,Marsh Harbour,48,BS,1541226916,96,26.54,-77.06,82.4,16.69
